;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;REGISTRO DE EAN + SKU;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;153;EANs preenchidos;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;66%;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SKU;Código EAN;Produto;Cor;Tamanho;Material;KIT;Quantidade;Registrado no GS1?;;;;;;;;;;;;;;;;;;;;;;;
PJO-RBB-PEQ-ABS-K15;7891577684822;Porta Joias;Rosa bebê;Pequeno;ABS;Sim;15;;;;;;;;;;;;;;;;;;;;;;;;
PJO-RBB-MED-ABS-K6;7899660201093;Porta Joias;Rosa bebê;Médio;ABS;Sim;6;;;;;;;;;;;;;;;;;;;;;;;;
PJO-RBB-MED-ABS-K9;7894044268686;Porta Joias;Rosa bebê;Médio;ABS;Sim;9;;;;;;;;;;;;;;;;;;;;;;;;
PJO-RBB-MED-ABS-K12;7899814973852;Porta Joias;Rosa bebê;Médio;ABS;Sim;12;;;;;;;;;;;;;;;;;;;;;;;;
PJO-RBB-MED-ABS-K15;7892234302448;Porta Joias;Rosa bebê;Médio;ABS;Sim;15;;;;;;;;;;;;;;;;;;;;;;;;
PJO-VER-PEQ-ABS-K6;7892773278600;Porta Joias;Vermelho;Pequeno;ABS;Sim;6;;;;;;;;;;;;;;;;;;;;;;;;
PJO-VER-PEQ-ABS-K9;7894664766166;Porta Joias;Vermelho;Pequeno;ABS;Sim;9;;;;;;;;;;;;;;;;;;;;;;;;
PJO-VER-PEQ-ABS-K12;7895560793348;Porta Joias;Vermelho;Pequeno;ABS;Sim;12;;;;;;;;;;;;;;;;;;;;;;;;
PJO-VER-PEQ-ABS-K15;7895502789026;Porta Joias;Vermelho;Pequeno;ABS;Sim;15;;;;;;;;;;;;;;;;;;;;;;;;
PJO-VER-MED-ABS-K6;7898008596167;Porta Joias;Vermelho;Médio;ABS;Sim;6;;;;;;;;;;;;;;;;;;;;;;;;
PJO-VER-MED-ABS-K9;7895783459441;Porta Joias;Vermelho;Médio;ABS;Sim;9;;;;;;;;;;;;;;;;;;;;;;;;
PJO-VER-MED-ABS-K12;7890075745936;Porta Joias;Vermelho;Médio;ABS;Sim;12;;;;;;;;;;;;;;;;;;;;;;;;
PJO-VER-MED-ABS-K15;7895059960732;Porta Joias;Vermelho;Médio;ABS;Sim;15;;;;;;;;;;;;;;;;;;;;;;;;
PJO-ROX-PEQ-ABS-K6;7899647347684;Porta Joias;Roxo;Pequeno;ABS;Sim;6;;;;;;;;;;;;;;;;;;;;;;;;
PJO-ROX-PEQ-ABS-K9;7892558675143;Porta Joias;Roxo;Pequeno;ABS;Sim;9;;;;;;;;;;;;;;;;;;;;;;;;
PJO-ROX-PEQ-ABS-K12;7891864660553;Porta Joias;Roxo;Pequeno;ABS;Sim;12;;;;;;;;;;;;;;;;;;;;;;;;
PJO-ROX-PEQ-ABS-K15;7898751835667;Porta Joias;Roxo;Pequeno;ABS;Sim;15;;;;;;;;;;;;;;;;;;;;;;;;
PJO-ROX-MED-ABS-K6;7899320875657;Porta Joias;Roxo;Médio;ABS;Sim;6;;;;;;;;;;;;;;;;;;;;;;;;
PJO-ROX-MED-ABS-K9;7894480596251;Porta Joias;Roxo;Médio;ABS;Sim;9;;;;;;;;;;;;;;;;;;;;;;;;
PJO-ROX-MED-ABS-K12;7895402207385;Porta Joias;Roxo;Médio;ABS;Sim;12;;;;;;;;;;;;;;;;;;;;;;;;
PJO-ROX-MED-ABS-K15;7892040202284;Porta Joias;Roxo;Médio;ABS;Sim;15;;;;;;;;;;;;;;;;;;;;;;;;
PJO-BRD-PEQ-PLA-K1;7892969308364;Porta Joias;Branco Dental;Pequeno;PLA;;1;;;;;;;;;;;;;;;;;;;;;;;;
PJO-BRD-MED-PLA-K1;7897204746963;Porta Joias;Branco Dental;Médio;PLA;;1;;;;;;;;;;;;;;;;;;;;;;;;
PJO-LAR-PEQ-PLA-K1;7896995311435;Porta Joias;Laranja;Pequeno;PLA;;1;;;;;;;;;;;;;;;;;;;;;;;;
PJO-LAR-MED-PLA-K1;7893851248294;Porta Joias;Laranja;Médio;PLA;;1;;;;;;;;;;;;;;;;;;;;;;;;
PJO-PRE-MED-PLA-K1;7890038958342;Porta Joias;Preto;Médio;PLA;;1;;;;;;;;;;;;;;;;;;;;;;;;
PJO-PRE-PEQ-PLA-K1;7892958869302;Porta Joias;Preto;Pequeno;PLA;;1;;;;;;;;;;;;;;;;;;;;;;;;
PJO-ROX-MED-PLA-K1;7891646022357;Porta Joias;Roxo;Médio;PLA;;1;;;;;;;;;;;;;;;;;;;;;;;;
PJO-ROX-PEQ-PLA-K1;7898390415206;Porta Joias;Roxo;Pequeno;PLA;;1;;;;;;;;;;;;;;;;;;;;;;;;
PJO-VER-MED-PLA-K1;7890156541426;Porta Joias;Vermelho;Médio;PLA;;1;;;;;;;;;;;;;;;;;;;;;;;;
PJO-VER-PEQ-PLA-K1;7898570864589;Porta Joias;Vermelho;Pequeno;PLA;;1;;;;;;;;;;;;;;;;;;;;;;;;
;7898915974935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7897477602461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7899823871880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7899457248058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
